DND-41_T_Lymphocyte_Blood | H4K20me1 | ID:45195
Farage_B_Lymphocyte_Lymph_Node | EZH2 | ID:35647
Fetal_Thymus | DNase.all.peaks | Roadmap
Fetal_Thymus | DNase.fdr0.01.hot | Roadmap
Fetal_Thymus | DNase.fdr0.01.peaks | Roadmap
Fetal_Thymus | DNase.hot | Roadmap
Fetal_Thymus | DNase | ID:40708
Fetal_Thymus | DNase | ID:40728
Fetal_Thymus | DNase | ID:40730
Fetal_Thymus | DNase | ID:40812
Fetal_Thymus | DNase | ID:40822
Fetal_Thymus | DNase | ID:40833
Fetal_Thymus | DNase | ID:41061
Fetal_Thymus | DNase | ID:41067
Fetal_Thymus | DNase | Roadmap
Fetal_Thymus | H3K27ac | ID:37693
Fetal_Thymus | H3K27ac | Roadmap
Fetal_Thymus | H3K27me3 | ID:37700
Fetal_Thymus | H3K27me3 | ID:42128
Fetal_Thymus | H3K27me3 | Roadmap
Fetal_Thymus | H3K36me3 | Roadmap
Fetal_Thymus | H3K4me1 | ID:37705
Fetal_Thymus | H3K4me1 | Roadmap
Fetal_Thymus | H3K4me3 | ID:37704
Fetal_Thymus | H3K4me3 | Roadmap
Fetal_Thymus | H3K9me3 | ID:37707
Fetal_Thymus | H3K9me3 | Roadmap
Gen2.2_Plasmacytoid_dendritic_cell | ATAC-seq | ID:65309
Gen2.2_Plasmacytoid_dendritic_cell | BRD4 | ID:72345
Gen2.2_Plasmacytoid_dendritic_cell | BRD4 | ID:72347
Gen2.2_Plasmacytoid_dendritic_cell | POLR2A | ID:72344
Gen2.2_Plasmacytoid_dendritic_cell | POLR2A | ID:72346
Gen2.2_Plasmacytoid_dendritic_cell | TCF4 | ID:72366
GM06990_B_Lymphocyte_Blood | CTCF | ID:45581
GM06990_B_Lymphocyte_Blood | CTCF | ID:45582
GM06990_B_Lymphocyte_Blood | DNase | ID:40595
GM06990_B_Lymphocyte_Blood | DNase | ID:44916
GM06990_B_Lymphocyte_Blood | E2F4 | ID:542
GM06990_B_Lymphocyte_Blood | H3K27me3 | ID:45200
GM06990_B_Lymphocyte_Blood | H3K36me3 | ID:45201
GM06990_B_Lymphocyte_Blood | H3K4me3 | ID:45199
GM12801_B_Lymphocyte_Blood | CTCF | ID:45588
GM12864_B_Lymphocyte_Blood | CTCF | ID:45589
GM12864_B_Lymphocyte_Blood | CTCF | ID:45590
GM12864_B_Lymphocyte_Blood | CTCF | ID:45591
GM12864_B_Lymphocyte_Blood | DNase | ID:44918
GM12864_B_Lymphocyte_Blood | H3K4me3 | ID:45202
GM12865_B_Lymphocyte_Blood | CTCF | ID:45592
GM12865_B_Lymphocyte_Blood | CTCF | ID:45593
GM12865_B_Lymphocyte_Blood | CTCF | ID:45594
GM12865_B_Lymphocyte_Blood | DNase | ID:40928
GM12865_B_Lymphocyte_Blood | DNase | ID:44919
GM12865_B_Lymphocyte_Blood | DNase | ID:44920
GM12865_B_Lymphocyte_Blood | H3K4me3 | ID:45203
GM12866_B_Lymphocyte_Blood | CTCF | ID:39975
GM12866_B_Lymphocyte_Blood | H3K4me3 | ID:45204
GM12867_B_Lymphocyte_Blood | CTCF | ID:39971
GM12868_B_Lymphocyte_Blood | CTCF | ID:39970
GM12869_B_Lymphocyte_Blood | CTCF | ID:39974
GM12870_B_Lymphocyte_Blood | CTCF | ID:39973
GM12871_B_Lymphocyte_Blood | CTCF | ID:39972
GM12872_B_Lymphocyte_Blood | CTCF | ID:45595
GM12872_B_Lymphocyte_Blood | CTCF | ID:45596
GM12872_B_Lymphocyte_Blood | CTCF | ID:45597
GM12873_B_Lymphocyte_Blood | CTCF | ID:45598
GM12873_B_Lymphocyte_Blood | CTCF | ID:45599
GM12873_B_Lymphocyte_Blood | CTCF | ID:45600
GM12874_B_Lymphocyte_Blood | CTCF | ID:45601
GM12874_B_Lymphocyte_Blood | CTCF | ID:45602
GM12875_B_Lymphocyte_Blood | CTCF | ID:45603
GM12875_B_Lymphocyte_Blood | CTCF | ID:45604
GM12875_B_Lymphocyte_Blood | H3K4me3 | ID:45205
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:59676
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:59678
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:61819
